,0
2026,boston rock
2027,hard house
2028,black punk
2029,nisiotika
2030,folklore peruano
2031,uk funky
2032,celtic metal
2033,rumba
2034,musica tradicional dominicana
2035,modern performance
2036,grime
2037,guitarra clasica
2038,j-pop girl group
2039,swiss folk
2040,sierreno
2041,west australian hip hop
2042,mbira
2043,american modern classical
2044,sacramento indie
2045,vintage swedish pop
2046,indie liguria
2047,polish alternative
2048,swedish singer-songwriter
2049,folclore jujeno
2050,celtic punk
2051,hindi indie
2052,rap latina
2053,house
2054,electronic trap
2055,turkish experimental
2056,atmospheric dnb
2057,italian disco
2058,rap calme
2059,indian classical
2060,southern soul
2061,violin
2062,irish hip hop
2063,egyptian pop
2064,experimental rock
2065,pop virale italiano
2066,geek folk
2067,greek psychedelic rock
2068,toronto indie
2069,hungarian hip hop
2070,nu jazz
2071,pinoy metal
2072,makina
2073,old school rap francais
2074,jazz cubano
2075,northern irish punk
2076,swedish underground rap
2077,japanese singer-songwriter
2078,british modern classical
2079,candombe
2080,bboy
2081,emo
2082,polish classical piano
2083,connecticut indie
2084,west coast rap
2085,irish singer-songwriter
2086,electric bass
2087,viking metal
2088,harp
2089,rap chileno
2090,swedish melodic rock
2091,britpop
2092,surf music
2093,musica paraibana
2094,french pop
2095,francoton
2096,jam band
2097,mexican son
2098,magyar mulatos
2099,mpgjr
2100,german orchestra
2101,indonesian jazz
2102,surinamese pop
2103,indonesian viral pop
2104,rome indie
2105,spanish noise pop
2106,progressive trance house
2107,pixie
2108,ukg revival
2109,nyhc
2110,thai pop
2111,sunshine pop
2112,tamborazo
2113,chamame
2114,indie quebecois
2115,indian singer-songwriter
2116,canadian post-hardcore
2117,jazz clarinet
2118,icelandic folk
2119,jazz venezolano
2120,eurodance
2121,nwobhm
2122,anime
2123,lagu timur
2124,vintage italian pop
2125,speedcore
2126,philly rap
2127,indonesian city pop
2128,blues rock
2129,tropical house
2130,icelandic choir
2131,french hip hop
2132,estonian indie
2133,modern ska punk
2134,musica tropical guatemalteca
2135,middle earth
2136,argentine indie
2137,carnatic vocal
2138,thai instrumental
2139,euphoric hardstyle
2140,merengue
2141,latvian hip hop
2142,jovem guarda
2143,progressive groove metal
2144,beach music
2145,dutch drill
2146,russian punk rock
2147,acoustic rock
2148,indie veneto
2149,japanese alternative pop
2150,tennessee hip hop
2151,turkish electronic
2152,quiet storm
2153,tamil pop
2154,power blues-rock
2155,indonesian blues
2156,rap cristiano
2157,dub poetry
2158,canadian latin
2159,finnish metal
2160,soca
2161,art pop
2162,adoracao
2163,swedish synthpop
2164,seinen
2165,pop nacional
2166,experimental
2167,hindustani vocal
2168,chaabi algerien
2169,musica llanera
2170,pagode novo
2171,traditional folk
2172,austin singer-songwriter
2173,hurdy-gurdy
2174,indonesian indie
2175,historic classical performance
2176,modern hard rock
2177,trap soul
2178,christian music
2179,rap df
2180,latinx alternative
2181,italian ska
2182,trap argentino
2183,chamber psych
2184,electrofox
2185,lo-fi chill
2186,turkish psych
2187,classical mezzo-soprano
2188,experimental hip hop
2189,hong kong indie
2190,folklore panameno
2191,italian new wave
2192,malian blues
2193,baiao
2194,japanese post-hardcore
2195,toronto rap
2196,american classical piano
2197,rock alternatif francais
2198,fado
2199,groove metal
2200,piano blues
2201,ethereal wave
2202,greek guitar
2203,finnish blues
2204,scottish folk
2205,velha guarda
2206,sertanejo
2207,italian post punk
2208,underground power pop
2209,j-pop
2210,harlem hip hop
2211,chicago drill
2212,swedish hip hop
2213,finnish jazz
2214,norwegian contemporary jazz
2215,progressive house
2216,chunchaca
2217,dub
2218,finnish alternative rock
2219,balkan trap
2220,musica costena
2221,lo-fi indie
2222,musica popular colombiana
2223,trap
2224,trash rock
2225,spanish new wave
2226,rosary
2227,neo soul
2228,polish synthpop
2229,healing
2230,cuento infantile
2231,classical contralto
2232,tamil devotional
2233,grebo
2234,latvian indie
2235,afrofuturismo brasileiro
2236,uk americana
2237,american primitive
2238,electropop
2239,lithuanian rock
2240,vlaamse rap
2241,vallenato
2242,musica de fondo
2243,bolero cubano
2244,vocal trance
2245,louisiana blues
2246,rock uruguayo
2247,nyc rap
2248,reading indie
2249,kurdish folk
2250,chillhop
2251,deep disco house
2252,shred
2253,trova
2254,classic soul
2255,ska argentino
2256,bossa nova jazz
2257,trap carioca
2258,oshare kei
2259,australian trap
2260,deathrash
2261,korean pop
2262,viola caipira
2263,musica popular mineira
2264,northern soul
2265,adult standards
2266,schweizer rap
2267,indian indie
2268,chicano rap
2269,polish electronica
2270,jazz trio
2271,medieval folk
2272,gamelan
2273,semarang indie
2274,timba
2275,canzone napoletana
2276,turkish alternative rock
2277,glitch hop
2278,swedish blues
2279,canti alpini
2280,desi pop
2281,neo-progressive
2282,qawwali
2283,jungle
2284,canadian pop punk
2285,broken beat
2286,manele
2287,jangle pop
2288,dunedin sound
2289,sitar
2290,epic doom
2291,chanson virale
2292,russelater
2293,pop catracho
2294,cantautor catala
2295,tolkien metal
2296,sami
2297,swedish eurodance
2298,svensk lovsang
2299,puerto rican pop
2300,brazilian house
2301,j-idol
2302,nz metal
2303,connecticut hardcore
2304,aussie drill
2305,swedish rockabilly
2306,chamber choir
2307,yugoslav rock
2308,peruvian indie
2309,avant-garde jazz
2310,gothenburg metal
2311,salsa international
2312,birmingham grime
2313,antideutsche
2314,classic norwegian pop
2315,taiwan pop
2316,urban contemporary
2317,jazz vibraphone
2318,turntablism
2319,brazilian punk rock
2320,noise rock
2321,cumbia ranchera
2322,classic nz pop
2323,desi trap
2324,turkish punk
2325,italo dance
2326,classic girl group
2327,musique pour enfant quebecois
2328,piano mpb
2329,australian underground hip hop
2330,finnish pop
2331,j-reggae
2332,bornehistorier
2333,albuquerque indie
2334,country rap
2335,string orchestra
2336,glee club
2337,scandipop
2338,jazz blues
2339,industrial
2340,dark post-punk
2341,slayer
2342,texas country
2343,rock andaluz
2344,rif
2345,street punk espanol
2346,arab pop
2347,austropop
2348,country road
2349,brutal death metal
2350,finnish soul
2351,indonesian idol pop
2352,greek clarinet
2353,kentucky roots
2354,deep dubstep
2355,new england americana
2356,j-pop boy group
2357,pop punk
2358,pagode baiano
2359,swiss classical piano
2360,turkce trap metal
2361,gangster rap
2362,jazz drums
2363,british experimental
2364,bergen indie
2365,czech metal
2366,alternative dance
2367,chicago soul
2368,british classical piano
2369,chinese r&b
2370,melodic metalcore
2371,latin christian
2372,easy listening
2373,marching band
2374,japanese folk
2375,world chill
2376,turkish singer-songwriter
2377,afrobeat
2378,texas blues
2379,musica lombarda
2380,hip hop quebecois
2381,wyoming roots
2382,latvian folk
2383,gruperas inmortales
2384,jazz funk
2385,sophisti-pop
2386,carnatic instrumental
2387,minimalism
2388,russian metal
2389,reggaeton
2390,classic soundtrack
2391,german singer-songwriter
2392,taiwan punk
2393,thai folk pop
2394,latin viral pop
2395,afro soul
2396,tabla
2397,post-doom metal
2398,polish alternative rap
2399,hard rock
2400,black metal
2401,irish folk
2402,disney portugues brasil
2403,dutch classical piano
2404,power metal
2405,trikiti
2406,second line
2407,big beat
2408,komedi
2409,alabama indie
2410,finnish progressive rock
2411,folklore argentino
2412,electro house
2413,novelty
2414,historically informed performance
2415,organic house
2416,british blues
2417,southern hip hop
2418,mizrahi
2419,big room
2420,new french touch
2421,j-punk
2422,christian rock
2423,persian traditional
2424,vapor pop
2425,hamburg electronic
2426,hardcore
2427,cocuk sarkilari
2428,tech trance
2429,k-rap
2430,classic k-pop
2431,barnmusik
2432,kabarett
2433,mundart
2434,finnish heavy metal
2435,latin funk
2436,vintage chinese pop
2437,tipico
2438,idol rock
2439,classic city pop
2440,italian romanticism
2441,sandalwood
2442,deep talent show
2443,psychedelic soul
2444,ensemble stars
2445,zouk
2446,reggae tuga
2447,canadian rock
2448,partyschlager
2449,dutch pop
2450,pub rock
2451,drone
2452,jewish hip hop
2453,salsa puertorriquena
2454,suomirap
2455,mariachi cristiano
2456,german ska
2457,pinoy hip hop
2458,campursari
2459,trap brasileiro
2460,dansk lovsang
2461,russian rock
2462,avant-garde
2463,histoire pour enfants
2464,metal colombiano
2465,cumbia
2466,ostrock
2467,rap montrealais
2468,christmas instrumental
2469,swedish country
2470,uk rockabilly
2471,tribal house
2472,brazilian power metal
2473,folclore santiagueno
2474,vancouver punk
2475,brooklyn drill
2476,city pop
2477,nigerian hip hop
2478,greek underground rap
2479,slovak hip hop
2480,thai indie rock
2481,classic colombian pop
2482,post-punk argentina
2483,slovak rock
2484,classic j-rock
2485,dabke
2486,vintage jazz
2487,dungeon synth
2488,cumbia sonidera
2489,australian talent show
2490,chicago house
2491,polyphony
2492,korean classical performance
2493,cumbia villera
2494,tropical
2495,soul jazz
2496,bal-musette
2497,vocal jazz
2498,space rock
2499,new weird america
2500,humppa
2501,afro house
2502,euroska
2503,progressive electro house
2504,nordic classical piano
2505,gothabilly
2506,no wave
2507,power thrash
2508,garage rock revival
2509,galician rock
2510,kompa
2511,schlager
2512,industrial hip hop
2513,christlicher rap
2514,skansk musik
2515,classical horn
2516,braindance
2517,swedish contemporary classical
2518,trap queen
2519,belgian indie
2520,danish singer-songwriter
2521,czech folk
2522,rkt
2523,reggae rock
2524,zillertal
2525,cumbia surena
2526,romanian electronic
2527,glitchcore
2528,beat italiano
2529,pop rap brasileiro
2530,rabindra sangeet
2531,viking black metal
2532,dusseldorf electronic
2533,reggaeton mexicano
2534,cumbia chilena
2535,hip house
2536,danish hip hop
2537,finnish death metal
2538,thrash core
2539,sotalaulut
2540,svensk progg
2541,indietronica
2542,irish rock
2543,afroswing
2544,r&b italiano
2545,melodic death metal
2546,polish hardcore
2547,jazz quartet
2548,austrian choir
2549,modern swing
2550,deep soundtrack
2551,jazz piano
2552,musica ayacuchana
2553,folclore tucumano
2554,scottish rock
2555,shakuhachi
2556,swancore
2557,boogie-woogie
2558,manchester hip hop
2559,german hard rock
2560,neo classical metal
2561,musica portuguesa contemporanea
2562,hangoskonyvek
2563,bolero mexicano
2564,swiss alternative rock
2565,art song
2566,sertanejo pop
2567,banda carnavalera
2568,german underground rap
2569,groove room
2570,christian metal
2571,nu skool breaks
2572,musica popular uruguaya
2573,russian drill
2574,riddim
2575,musica canaria
2576,brooklyn indie
2577,japanese post-punk
2578,munich indie
2579,muzica populara
2580,synthetic classical
2581,indie folk
2582,belarusian rock
2583,austrian orchestra
2584,arabesk
2585,vlaamse cabaret
2586,classical soprano
2587,israeli folk
2588,polish punk
2589,neo-singer-songwriter
2590,pinoy trap
2591,british jazz
2592,funk
2593,adoracion
2594,livetronica
2595,atmospheric doom
2596,icelandic pop
2597,finnish new wave
2598,folklore chileno
2599,gauze pop
2600,delta blues
2601,nashville hip hop
2602,swing
2603,norwegian indie
2604,deep contemporary country
2605,preschool children's music
2606,ambient folk
2607,kizomba
2608,odia pop
2609,finnish power metal
2610,steelpan
2611,nottingham indie
2612,belarusian hip hop
2613,deep turkish pop
2614,dessin anime
2615,technical groove metal
2616,hungarian underground rap
2617,r&b argentino
2618,german pop rock
2619,minimal tech house
2620,tampa indie
2621,complextro
2622,uk reggae
2623,classic canadian rock
2624,finnish modern jazz
2625,glam metal
2626,french rock
2627,jawaiian
2628,israeli singer-songwriter
2629,west african jazz
2630,contemporary jazz
2631,mexican classic rock
2632,latin viral rap
2633,indie electropop
2634,bass house
2635,glitch pop
2636,indonesian pop punk
2637,shiver pop
2638,swedish dancehall
2639,winnipeg hip hop
2640,cantonese opera
2641,pinoy indie
2642,pop house
2643,chanson quebecois
2644,adventista
2645,bhajan
2646,traditional rockabilly
2647,k-indie
2648,irish flute
2649,duranguense
2650,italian bass
2651,jazzy dnb
2652,spanish pop rock
2653,rock progressif francais
2654,puerto rican rock
2655,nordnorsk musikk
2656,dutch trap
2657,rap romantico
2658,smooth saxophone
2659,karadeniz pop
2660,turkish classical
2661,indian violin
2662,japanese shoegaze
2663,indie surf
2664,singaporean mandopop
2665,israeli hip hop
2666,pinoy r&b
2667,modern dream pop
2668,romanian trap
2669,swiss pop
2670,j-poprock
2671,pittsburgh rock
2672,soul
2673,arab groove
2674,canzone d'autore
2675,float house
2676,brazilian bass
2677,nz hip hop
2678,hip hop tuga
2679,karneval
2680,italian metal
2681,cantaditas
2682,capoeira
2683,classic bhangra
2684,belgian singer-songwriter
2685,british electroacoustic
2686,mambo
2687,string band
2688,ukrainian folk
2689,swedish trap pop
2690,bakersfield sound
2691,bernu dziesmas
2692,europop
2693,vietnamese bolero
2694,reggaeton cristiano
2695,balkan hip hop
2696,dutch indie
2697,sevdah
2698,sleep
2699,uk tech house
2700,swiss reggae
2701,tahitian
2702,cyberpunk
2703,neo-trad metal
2704,corridos cristianos
2705,hungarian techno
2706,pop rap
2707,world worship
2708,psychedelic folk rock
2709,jumpstyle
2710,vintage chanson
2711,metropopolis
2712,early music choir
2713,musica para criancas
2714,reggaeton chileno
2715,boston folk
2716,pagan black metal
2717,red dirt
2718,hardcore punk
2719,kollywood
2720,a cappella
2721,traditional scottish folk
2722,modern string quartet
2723,garage rock
2724,chant religieux
2725,australian indigenous
2726,nasyid
2727,japanese soul
2728,uk metalcore
2729,nz pop
2730,brit funk
2731,british industrial
2732,idol kayo
2733,kodomo no ongaku
2734,experimental vocal
2735,celtic
2736,post-rock
2737,baglama
2738,historic string quartet
2739,salsa peruana
2740,canadian hip hop
2741,folclor afrocolombiano
2742,dirty texas rap
2743,album rock
2744,metal mineiro
2745,musica para ninos
2746,firenze indie
2747,uk alternative pop
2748,new rave
2749,musiikkia lapsille
2750,estonian hip hop
2751,vintage finnish jazz
2752,malaysian metal
2753,danish techno
2754,thai indie
2755,dangdut remix
2756,entehno
2757,uk hip hop
2758,classical organ
2759,future rock
2760,ulkucu sarkilar
2761,streektaal
2762,hindustani instrumental
2763,rebetiko
2764,k-pop girl group
2765,judaica
2766,argentine heavy metal
2767,tagalog rap
2768,hard alternative
2769,r&b en espanol
2770,lounge
2771,rock steady
2772,vintage swing
2773,classic greek rock
2774,alpine yodeling
2775,kaseko
2776,disco house
2777,folclore navarra
2778,bulgarian pop
2779,spanish rockabilly
2780,jazz pop
2781,classical tenor
2782,guatemalan metal
2783,carnaval limburg
2784,melodic metal
2785,musica catalana
2786,kingston on indie
2787,straight edge
2788,punk tuga
2789,rap tuga underground
2790,chilean hardcore
2791,finnish reggae
2792,lebanese pop
2793,yodeling
2794,pop dance
2795,russian grime
2796,supergroup
2797,japanese vgm
2798,tango cancion
2799,mandopop
2800,greek contemporary classical
2801,detski pesnichki
2802,c-pop
2803,rap conciencia
2804,veracruz indie
2805,mpb
2806,contemporary post-bop
2807,swedish indie rock
2808,trondersk musikk
2809,lo-fi cover
2810,vintage dutch pop
2811,jazz tico
2812,cinematic post-rock
2813,pinoy idol pop
2814,disco
2815,underground hip hop
2816,progressive psytrance
2817,synthpop
2818,scottish singer-songwriter
2819,rock gaucho
2820,deep classic garage rock
2821,faroese pop
2822,belarusian pop
2823,cancion melodica
2824,vintage tango
2825,naija worship
2826,mbalax
2827,ectofolk
2828,musica angolana
2829,metalcore
2830,jazz organ
2831,microhouse
2832,haitian traditional
2833,swedish classical
2834,ruta destroy
2835,pop edm
2836,country blues
2837,canadian pop
2838,japanese old school hip hop
2839,finnish electronic
2840,gymcore
2841,ann arbor indie
2842,latin rock
2843,etherpop
2844,uptempo hardcore
2845,canadian electronic
2846,neo kyma
2847,finnish classical
2848,turkish folk
2849,hyphy
2850,hungarian pop
2851,straight-ahead jazz
2852,deep southern trap
2853,romanian folk
2854,synthwave
2855,hardstyle
2856,norwegian jazz
2857,neo-classical
2858,arab folk
2859,swedish metal
2860,jump up
2861,canadian children's music
2862,finnish edm
2863,kansas city hip hop
2864,czech rock
2865,maskandi
2866,colombian pop
2867,panamanian indie
2868,irish classical
2869,nouvelle chanson francaise
2870,nueva trova chilena
2871,spanish classical
2872,early modern classical
2873,vocal house
2874,chinese jazz
2875,dangdut koplo
2876,harmonica blues
2877,hard bop
2878,russian reggae
2879,brazilian post-hardcore
2880,dark rock
2881,comptine
2882,estonian electronic
2883,orquesta tipica
2884,champeta
2885,manila sound
2886,classic indo pop
2887,kurdish rock
2888,lithuanian indie
2889,melancholia
2890,electro-pop francais
2891,deep latin alternative
2892,filter house
2893,classic belgian pop
2894,flemish folk
2895,london rap
2896,russian electronic
2897,latin american classical piano
2898,old west
2899,polish jazz
2900,old school hip hop
2901,outsider
2902,pop reggaeton
2903,spanish rock
2904,palm desert scene
2905,punk colombiano
2906,trap funk
2907,punk urbano
2908,indonesian post-hardcore
2909,roots worship
2910,punk 'n' roll
2911,canterbury scene
2912,nuevo flamenco
2913,macross
2914,murcia indie
2915,vocaloid
2916,gregorian chant
2917,new jersey rap
2918,j-rock
2919,pop romantico
2920,punjabi hip hop
2921,melbourne bounce international
2922,focus
2923,piseiro
2924,dark wave
2925,drill
2926,tango
2927,nordic house
2928,new wave
2929,pakistani pop
2930,galego
2931,russian romanticism
2932,musica aragonesa
2933,peruvian hip hop
2934,tamil hip hop
2935,hungarian folk
2936,bruneian pop
2937,black thrash
2938,pinoy singer-songwriter
2939,rock alternativo brasileiro
2940,hi-nrg
2941,icelandic electronic
2942,meditation
2943,cumbia uruguaya
2944,danish post-punk
2945,indie rock italiano
2946,full on
2947,bajki
2948,country pop
2949,sungura
2950,atmospheric black metal
2951,macedonian folk
2952,kalmar indie
2953,doom metal
2954,indie tico
2955,australian r&b
2956,instrumental bluegrass
2957,ecuadorian indie
2958,german trance
2959,future bass
2960,darkstep
2961,malayalam pop
2962,icelandic indie
2963,english baroque
2964,jump blues
2965,uk drill
2966,futurepop
2967,hangpan
2968,philly soul
2969,venezuelan rock
2970,chanson paillarde
2971,lds youth
2972,russian nu metal
2973,brazilian progressive metal
2974,south african house
2975,south african hip hop
2976,early music ensemble
2977,swedish trap
2978,paidika tragoudia
2979,peruvian rock
2980,worship
2981,bayerischer rap
2982,kolkata indie
2983,latin soundtrack
2984,baroque singing
2985,tennessee experimental
2986,rogaland musikk
2987,zydeco
2988,soul blues
2989,mod revival
2990,baroque violin
2991,classic mandopop
2992,guidance
2993,australian singer-songwriter
2994,jazz orchestra
2995,brazilian hip hop
2996,gothic metal
2997,mexican pop punk
2998,spanish pop
2999,hungarian classical performance
3000,us power metal
3001,russian trance
3002,classic arab pop
3003,bulgarian rock
3004,canadian singer-songwriter
3005,bristol electronic
3006,alternative emo
3007,double drumming
3008,russian synthpop
3009,gospel antigas
3010,funky tech house
3011,detskie pesni
